"Description","Latitude","Longitude","Title","Group","TabTitle","Location","Icon","Shadow","DateOpened","TimeOpened","DateClosed","TimeClosed","Status","Crime","CaseNumber","CrimeClassification","IncidentNumber"
"<hr><b><big>Burglary (Vehicle)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1200 Block of OLIVE DR<br><b>City:</b> Davis<br><b>Occurred:</b> 8/5/2016 at 2230<br><b>Case #:</b> 17-3042<br><b>Incident #:</b> 1708060053<br><br>","38.54244","-121.73476","Burglary (Vehicle)","LARCENY","Theft","1200 Block of OLIVE DR","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/6/2017 12:00:00 AM","","","","","459 PC","17-3042","Felony","1708060053"
"<hr><b><big>Grnd Thft:prop/Etc $950+ -felony</big></b><hr><b>Crime:</b> 487(A) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1600 Block of OLIVE DR<br><b>City:</b> Davis<br><b>Occurred:</b> 8/1/2016 at 0000<br><b>Case #:</b> 17-661<br><b>Incident #:</b> 1702130095<br><br>","38.54421","-121.73364","Grnd Thft:Prop/Etc $950+ -Felony","LARCENY","Theft","1600 Block of OLIVE DR","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","2/13/2017 12:00:00 AM","","","","","487(A) PC","17-661","Felony","1702130095"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 600 Block of ADAMS ST<br><b>City:</b> Davis<br><b>Occurred:</b> 10/27/2016 at 1522<br><b>Case #:</b> 16-4988<br><b>Incident #:</b> 1612010046<br><br>","38.54881","-121.76891","Petty Theft $950-  Misd","LARCENY","Theft","600 Block of ADAMS ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","12/1/2016 12:00:00 AM","","","","","488 PC","16-4988","Misdemeanor","1612010046"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 3000 Block of ALBANY AV<br><b>City:</b> Davis<br><b>Occurred:</b> 10/21/2016 at 0000<br><b>Case #:</b> 17-1518<br><b>Incident #:</b> 1704150091<br><br>","38.55127","-121.71906","Burglary (Residential)","BURGLARY","Burglary","3000 Block of ALBANY AV","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","4/15/2017 12:00:00 AM","","","","","459 PC","17-1518","Felony","1704150091"
"<hr><b><big>Rape Of Drugged Victim</big></b><hr><b>Crime:</b> 261(A)(3) PC<br><b>Crime Type:</b> Sexual Assault<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 100 Block of C ST<br><b>City:</b> Davis<br><b>Occurred:</b> 10/1/2016 at 0200<br><b>Case #:</b> 16-4072<br><b>Incident #:</b> 1610010087<br><br>","38.54215","-121.7427","Rape Of Drugged Victim","RAPE","Sexual Assault","100 Block of C ST","https://dpd.crimegraphics.com/2013//icons/icon6.png","shadow.png","10/1/2016 12:00:00 AM","","","","","261(A)(3) PC","16-4072","Felony","1610010087"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1300 Block of TULANE DR<br><b>City:</b> Davis<br><b>Occurred:</b> 10/5/2016 at 1644<br><b>Case #:</b> 16-4138<br><b>Incident #:</b> 1610050142<br><br>","38.55468","-121.73446","Burglary (Residential)","BURGLARY","Burglary","1300 Block of TULANE DR","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","10/5/2016 12:00:00 AM","","","","","459 PC","16-4138","Felony","1610050142"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 600 Block of ADAMS ST<br><b>City:</b> Davis<br><b>Occurred:</b> 10/27/2016 at 1522<br><b>Case #:</b> 16-4988<br><b>Incident #:</b> 1612010046<br><br>","38.54881","-121.76891","Petty Theft $950-  Misd","LARCENY","Theft","600 Block of ADAMS ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","12/1/2016 12:00:00 AM","","","","","488 PC","16-4988","Misdemeanor","1612010046"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 400 Block of ANZA AV<br><b>City:</b> Davis<br><b>Occurred:</b> 10/30/2016 at 0100<br><b>Case #:</b> 16-4539<br><b>Incident #:</b> 1610310049<br><br>","38.56382","-121.75088","Petty Theft $950-  Misd","LARCENY","Theft","400 Block of ANZA AV","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","10/31/2016 12:00:00 AM","","","","","488 PC","16-4539","Misdemeanor","1610310049"
"<hr><b><big>Rape:vict Incpbl Of Cnsnt</big></b><hr><b>Crime:</b> 261(A)(1) PC<br><b>Crime Type:</b> Sexual Assault<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 2900 Block of PORTAGE BAY WEST<br><b>City:</b> Davis<br><b>Occurred:</b> 10/30/2016 at 0300<br><b>Case #:</b> 17-126<br><b>Incident #:</b> 1701090088<br><br>","38.54897","-121.78802","Rape:Vict Incpbl Of Cnsnt","RAPE","Sexual Assault","2900 Block of PORTAGE BAY WEST","https://dpd.crimegraphics.com/2013//icons/icon6.png","shadow.png","1/9/2017 12:00:00 AM","","","","","261(A)(1) PC","17-126","Felony","1701090088"
"<hr><b><big>Vehicle Theft</big></b><hr><b>Crime:</b> 10851(A) VC<br><b>Crime Type:</b> Stolen Vehicle<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 400 Block of UNIVERSITY AV<br><b>City:</b> Davis<br><b>Occurred:</b> 11/15/2016 at 2200<br><b>Case #:</b> 16-4811<br><b>Incident #:</b> 1611160071<br><br>","38.54552","-121.74673","Vehicle Theft","STOLVEH","Stolen Vehicle","400 Block of UNIVERSITY AV","https://dpd.crimegraphics.com/2013//icons/icon8.png","shadow.png","11/16/2016 12:00:00 AM","","","","","10851(A) VC","16-4811","Felony","1611160071"
"<hr><b><big>Burglary (Commercial)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1400 Block of W COVELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 11/24/2016 at 1900<br><b>Case #:</b> 16-4918<br><b>Incident #:</b> 1611250019<br><br>","38.56247","-121.76521","Burglary (Commercial) ","BURGLARY","Burglary","1400 Block of W COVELL BL","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","11/25/2016 12:00:00 AM","","","","","459 PC","16-4918","Felony","1611250019"
"<hr><b><big>Vehicle Theft</big></b><hr><b>Crime:</b> 10851(A) VC<br><b>Crime Type:</b> Stolen Vehicle<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 4300 Block of CHILES RD<br><b>City:</b> Davis<br><b>Occurred:</b> 11/28/2016 at 1500<br><b>Case #:</b> 17-1343<br><b>Incident #:</b> 1704030098<br><br>","38.55064","-121.69827","Vehicle Theft","STOLVEH","Stolen Vehicle","4300 Block of CHILES RD","https://dpd.crimegraphics.com/2013//icons/icon8.png","shadow.png","4/3/2017 12:00:00 AM","","","","","10851(A) VC","17-1343","Felony","1704030098"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1800 Block of COWELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 12/11/2016 at 0900<br><b>Case #:</b> 17-77<br><b>Incident #:</b> 1701050102<br><br>","38.53951","-121.72896","Burglary (Residential)","BURGLARY","Burglary","1800 Block of COWELL BL","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","1/5/2017 12:00:00 AM","","","","","459 PC","17-77","Felony","1701050102"
"<hr><b><big>Robbery</big></b><hr><b>Crime:</b> 211 PC<br><b>Crime Type:</b> Robbery<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 2100 Block of COWELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 12/16/2016 at 1859<br><b>Case #:</b> 16-5232<br><b>Incident #:</b> 1612160118<br><br>","38.54116","-121.72508","Robbery","ROBBERY","Robbery","2100 Block of COWELL BL","https://dpd.crimegraphics.com/2013//icons/icon7.png","shadow.png","12/16/2016 12:00:00 AM","","","","","211 PC","16-5232","Felony","1612160118"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 200 Block of DIABLO AV<br><b>City:</b> Davis<br><b>Occurred:</b> 12/13/2016 at 0000<br><b>Case #:</b> 16-5393<br><b>Incident #:</b> 1612290044<br><br>","38.56479","-121.74719","Petty Theft $950-  Misd","LARCENY","Theft","200 Block of DIABLO AV","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","12/29/2016 12:00:00 AM","","","","","488 PC","16-5393","Misdemeanor","1612290044"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 200 Block of E 14TH ST<br><b>City:</b> Davis<br><b>Occurred:</b> 12/21/2016 at 1700<br><b>Case #:</b> 17-30<br><b>Incident #:</b> 1701030032<br><br>","38.55646","-121.74773","Petty Theft $950-  Misd","LARCENY","Theft","200 Block of E 14TH ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","1/3/2017 12:00:00 AM","","","","","488 PC","17-30","Misdemeanor","1701030032"
