"Description","Latitude","Longitude","Title","Group","TabTitle","Location","Icon","Shadow","DateOpened","TimeOpened","DateClosed","TimeClosed","Status","Crime","CaseNumber","CrimeClassification","IncidentNumber"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 800 Block of ADAMS ST<br><b>City:</b> Davis<br><b>Occurred:</b> 8/8/2017 at 1308<br><b>Case #:</b> 17-3073<br><b>Incident #:</b> 1708080069<br><br>","38.55116","-121.76973","Petty Theft $950-  Misd","LARCENY","Theft","800 Block of ADAMS ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/8/2017 12:00:00 AM","","","","","488 PC","17-3073","Misdemeanor","1708080069"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 2400 Block of ALBANY AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/16/2017 at 0830<br><b>Case #:</b> 17-3170<br><b>Incident #:</b> 1708160159<br><br>","38.54383","-121.7206","Burglary (Residential)","BURGLARY","Burglary","2400 Block of ALBANY AV","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","8/16/2017 12:00:00 AM","","","","","459 PC","17-3170","Felony","1708160159"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 2800 Block of ALBANY AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/13/2017 at 2200<br><b>Case #:</b> 17-3247<br><b>Incident #:</b> 1708220064<br><br>","38.54629","-121.71751","Burglary (Residential)","BURGLARY","Burglary","2800 Block of ALBANY AV","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","8/22/2017 12:00:00 AM","","","","","459 PC","17-3247","Felony","1708220064"
"<hr><b><big>Battery On Person</big></b><hr><b>Crime:</b> 242 PC<br><b>Crime Type:</b> Assault<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 3000 Block of ALBANY AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/20/2017 at 1200<br><b>Case #:</b> 17-3210<br><b>Incident #:</b> 1708200057<br><br>","38.54658","-121.71445","Battery On Person","ASSAULT","Assault","3000 Block of ALBANY AV","https://dpd.crimegraphics.com/2013//icons/icon2.png","shadow.png","8/20/2017 12:00:00 AM","","","","","242 PC","17-3210","Misdemeanor","1708200057"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 1100 Block of ALICE ST<br><b>City:</b> Davis<br><b>Occurred:</b> 8/15/2017 at 0400<br><b>Case #:</b> 17-3149<br><b>Incident #:</b> 1708150070<br><br>","38.55506","-121.7384","Petty Theft $950-  Misd","LARCENY","Theft","1100 Block of ALICE ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/15/2017 12:00:00 AM","","","","","488 PC","17-3149","Misdemeanor","1708150070"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 500 Block of ALVARADO AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/10/2017 at 0000<br><b>Case #:</b> 17-3133<br><b>Incident #:</b> 1708140048<br><br>","38.56128","-121.75204","Petty Theft $950-  Misd","LARCENY","Theft","500 Block of ALVARADO AV","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/14/2017 12:00:00 AM","","","","","488 PC","17-3133","Misdemeanor","1708140048"
"<hr><b><big>Battery on Cohab</big></b><hr><b>Crime:</b> 243(E)(1) PC<br><b>Crime Type:</b> Assault<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 600 Block of ALVARADO AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/23/2017 at 0000<br><b>Case #:</b> 17-3281<br><b>Incident #:</b> 1708230138<br><br>","38.5621","-121.75733","Battery On Cohab","ASSAULT","Assault","600 Block of ALVARADO AV","https://dpd.crimegraphics.com/2013//icons/icon2.png","shadow.png","8/23/2017 12:00:00 AM","","","","","243(E)(1) PC","17-3281","Misdemeanor","1708230138"
"<div class='MapInfoTitle'>3 Crimes Found at this Location</div><br><hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 600 Block of ANDERSON RD<br><b>City:</b> Davis<br><b>Occurred:</b> 8/2/2017 at 0000<br><b>Case #:</b> 17-3061<br><b>Incident #:</b> 1708070088<br><br><br><br><hr><b><big>Grnd Thft:prop/Etc $950+ -felony</big></b><hr><b>Crime:</b> 487(A) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 600 Block of ANDERSON RD<br><b>City:</b> Davis<br><b>Occurred:</b> 8/22/2017 at 2100<br><b>Case #:</b> 17-3271<br><b>Incident #:</b> 1708230043<br><br><br><br><hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 600 Block of ANDERSON RD<br><b>City:</b> Davis<br><b>Occurred:</b> 8/23/2017 at 0000<br><b>Case #:</b> 17-3279<br><b>Incident #:</b> 1708230119<br><br>","38.54813","-121.75954","Petty Theft $950-  Misd","LARCENY","Theft","600 Block of ANDERSON RD","/images/icons/red/blank.png","shadow.png","8/23/2017 12:00:00 AM","","","","","488 PC","17-3061","Misdemeanor","1708070088"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 1600 Block of ANDERSON RD<br><b>City:</b> Davis<br><b>Occurred:</b> 8/3/2017 at 2000<br><b>Case #:</b> 17-3140<br><b>Incident #:</b> <br><br>","38.5572","-121.75764","Petty Theft $950-  Misd","LARCENY","Theft","1600 Block of ANDERSON RD","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/14/2017 12:00:00 AM","","","","","488 PC","17-3140","Misdemeanor",""
"<hr><b><big>Burglary (Vehicle)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 500 Block of ANTIOCH DR<br><b>City:</b> Davis<br><b>Occurred:</b> 8/3/2017 at 2300<br><b>Case #:</b> 17-3027<br><b>Incident #:</b> 1708040019<br><br>","38.55284","-121.75424","Burglary (Vehicle)","LARCENY","Theft","500 Block of ANTIOCH DR","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/4/2017 12:00:00 AM","","","","","459 PC","17-3027","Felony","1708040019"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1000 Block of ARTHUR ST<br><b>City:</b> Davis<br><b>Occurred:</b> 8/22/2017 at 1727<br><b>Case #:</b> 17-3261<br><b>Incident #:</b> 1708220114<br><br>","38.55211","-121.77017","Burglary (Residential)","BURGLARY","Burglary","1000 Block of ARTHUR ST","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","8/22/2017 12:00:00 AM","","","","","459 PC","17-3261","Felony","1708220114"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 2800 Block of AUDUBON CI<br><b>City:</b> Davis<br><b>Occurred:</b> 7/27/2017 at 2344<br><b>Case #:</b> 17-2929<br><b>Incident #:</b> 1707270166<br><br>","38.56982","-121.72518","Petty Theft $950-  Misd","LARCENY","Theft","2800 Block of AUDUBON CI","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","7/27/2017 12:00:00 AM","","","","","488 PC","17-2929","Misdemeanor","1707270166"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 200 Block of AURORA AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/22/2017 at 1008<br><b>Case #:</b> 17-3257<br><b>Incident #:</b> 1708220098<br><br>","38.56277","-121.7476","Burglary (Residential)","BURGLARY","Burglary","200 Block of AURORA AV","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","8/22/2017 12:00:00 AM","","","","","459 PC","17-3257","Felony","1708220098"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 300 Block of AVOCET AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/2/2017 at 0000<br><b>Case #:</b> 17-3054<br><b>Incident #:</b> 1708070070<br><br>","38.57254","-121.75101","Petty Theft $950-  Misd","LARCENY","Theft","300 Block of AVOCET AV","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/7/2017 12:00:00 AM","","","","","488 PC","17-3054","Misdemeanor","1708070070"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 400 Block of AVOCET AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/1/2017 at 2100<br><b>Case #:</b> 17-2989<br><b>Incident #:</b> 1708020035<br><br>","38.5721","-121.75375","Petty Theft $950-  Misd","LARCENY","Theft","400 Block of AVOCET AV","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/2/2017 12:00:00 AM","","","","","488 PC","17-2989","Misdemeanor","1708020035"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 200 Block of B ST<br><b>City:</b> Davis<br><b>Occurred:</b> 8/10/2017 at 0000<br><b>Case #:</b> 17-3099<br><b>Incident #:</b> 1708100084<br><br>","38.5429","-121.74401","Petty Theft $950-  Misd","LARCENY","Theft","200 Block of B ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/10/2017 12:00:00 AM","","","","","488 PC","17-3099","Misdemeanor","1708100084"
"<hr><b><big>Burglary (Vehicle)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1200 Block of B ST<br><b>City:</b> Davis<br><b>Occurred:</b> 8/22/2017 at 0700<br><b>Case #:</b> 17-3258<br><b>Incident #:</b> 1708220107<br><br>","38.55389","-121.74767","Burglary (Vehicle)","LARCENY","Theft","1200 Block of B ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/22/2017 12:00:00 AM","","","","","459 PC","17-3258","Felony","1708220107"
"<hr><b><big>Vehicle Theft</big></b><hr><b>Crime:</b> 10851(A) VC<br><b>Crime Type:</b> Stolen Vehicle<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 3100 Block of BEACON BAY PL<br><b>City:</b> Davis<br><b>Occurred:</b> 8/19/2017 at 1630<br><b>Case #:</b> 17-3216<br><b>Incident #:</b> 1708200085<br><br>","38.5526","-121.79082","Vehicle Theft","STOLVEH","Stolen Vehicle","3100 Block of BEACON BAY PL","https://dpd.crimegraphics.com/2013//icons/icon8.png","shadow.png","8/20/2017 12:00:00 AM","","","","","10851(A) VC","17-3216","Felony","1708200085"
"<hr><b><big>Vehicle Theft</big></b><hr><b>Crime:</b> 10851(A) VC<br><b>Crime Type:</b> Stolen Vehicle<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 300 Block of BECERRA WY<br><b>City:</b> Davis<br><b>Occurred:</b> 8/8/2017 at 1300<br><b>Case #:</b> 17-3085<br><b>Incident #:</b> 1708090047<br><br>","38.54792","-121.70441","Vehicle Theft","STOLVEH","Stolen Vehicle","300 Block of BECERRA WY","https://dpd.crimegraphics.com/2013//icons/icon8.png","shadow.png","8/9/2017 12:00:00 AM","","","","","10851(A) VC","17-3085","Felony","1708090047"
"<hr><b><big>Battery on Cohab</big></b><hr><b>Crime:</b> 243(E)(1) PC<br><b>Crime Type:</b> Assault<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 300 Block of BECERRA WY<br><b>City:</b> Davis<br><b>Occurred:</b> 8/18/2017 at 2005<br><b>Case #:</b> 17-3191<br><b>Incident #:</b> 1708180122<br><br>","38.54787","-121.7056","Battery On Cohab","ASSAULT","Assault","300 Block of BECERRA WY","https://dpd.crimegraphics.com/2013//icons/icon2.png","shadow.png","8/18/2017 12:00:00 AM","","","","","243(E)(1) PC","17-3191","Misdemeanor","1708180122"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 300 Block of BECERRA WY<br><b>City:</b> Davis<br><b>Occurred:</b> 8/18/2017 at 0000<br><b>Case #:</b> 17-3223<br><b>Incident #:</b> 1708210038<br><br>","38.54863","-121.70555","Petty Theft $950-  Misd","LARCENY","Theft","300 Block of BECERRA WY","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/21/2017 12:00:00 AM","","","","","488 PC","17-3223","Misdemeanor","1708210038"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 2300 Block of BENTON PL<br><b>City:</b> Davis<br><b>Occurred:</b> 8/4/2017 at 2300<br><b>Case #:</b> 17-3063<br><b>Incident #:</b> 1708070094<br><br>","38.56382","-121.72362","Burglary (Residential)","BURGLARY","Burglary","2300 Block of BENTON PL","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","8/7/2017 12:00:00 AM","","","","","459 PC","17-3063","Felony","1708070094"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 4500 Block of BLUE OAK PL<br><b>City:</b> Davis<br><b>Occurred:</b> 7/25/2017 at 2300<br><b>Case #:</b> 17-2916<br><b>Incident #:</b> 1707260046<br><br>","38.54261","-121.69525","Petty Theft $950-  Misd","LARCENY","Theft","4500 Block of BLUE OAK PL","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","7/26/2017 12:00:00 AM","","","","","488 PC","17-2916","Misdemeanor","1707260046"
"<hr><b><big>Adw Not F/Arm Or Frce:gbi</big></b><hr><b>Crime:</b> 245(A)(1) PC<br><b>Crime Type:</b> Assault<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 2700 Block of BRANDYWINE PL<br><b>City:</b> Davis<br><b>Occurred:</b> 8/4/2017 at 0419<br><b>Case #:</b> 17-3026<br><b>Incident #:</b> 1708040013<br><br>","38.54872","-121.78371","Adw Not F/Arm Or Frce:Gbi","ASSAULT","Assault","2700 Block of BRANDYWINE PL","https://dpd.crimegraphics.com/2013//icons/icon2.png","shadow.png","8/4/2017 12:00:00 AM","","","","","245(A)(1) PC","17-3026","Felony","1708040013"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 1500 Block of BROWN DR<br><b>City:</b> Davis<br><b>Occurred:</b> 7/28/2017 at 0000<br><b>Case #:</b> 17-2995<br><b>Incident #:</b> 1708020083<br><br>","38.55703","-121.76566","Petty Theft $950-  Misd","LARCENY","Theft","1500 Block of BROWN DR","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/2/2017 12:00:00 AM","","","","","488 PC","17-2995","Misdemeanor","1708020083"
"<div class='MapInfoTitle'>2 Crimes Found at this Location</div><br><hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 400 Block of C ST<br><b>City:</b> Davis<br><b>Occurred:</b> 7/31/2017 at 1443<br><b>Case #:</b> 17-2967<br><b>Incident #:</b> 1707310111<br><br><br><br><hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 400 Block of C ST<br><b>City:</b> Davis<br><b>Occurred:</b> 8/5/2017 at 1000<br><b>Case #:</b> 17-3084<br><b>Incident #:</b> 1708090031<br><br>","38.54545","-121.74401","Petty Theft $950-  Misd","LARCENY","Theft","400 Block of C ST","/images/icons/red/blank.png","shadow.png","8/9/2017 12:00:00 AM","","","","","488 PC","17-2967","Misdemeanor","1707310111"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 400 Block of C ST<br><b>City:</b> Davis<br><b>Occurred:</b> 8/16/2017 at 1900<br><b>Case #:</b> 17-3174<br><b>Incident #:</b> 1708170050<br><br>","38.54649","-121.74455","Petty Theft $950-  Misd","LARCENY","Theft","400 Block of C ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/17/2017 12:00:00 AM","","","","","488 PC","17-3174","Misdemeanor","1708170050"
"<hr><b><big>Grnd Thft:prop/Etc $950+ -felony</big></b><hr><b>Crime:</b> 487(A) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 400 Block of C ST<br><b>City:</b> Davis<br><b>Occurred:</b> 8/18/2017 at 1019<br><b>Case #:</b> 17-3185<br><b>Incident #:</b> 1708180057<br><br>","38.54545","-121.74401","Grnd Thft:Prop/Etc $950+ -Felony","LARCENY","Theft","400 Block of C ST","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/18/2017 12:00:00 AM","","","","","487(A) PC","17-3185","Felony","1708180057"
"<hr><b><big>Adw Not F/Arm Or Frce:gbi</big></b><hr><b>Crime:</b> 245(A)(1) PC<br><b>Crime Type:</b> Assault<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1500 Block of CANNERY LOOP<br><b>City:</b> Davis<br><b>Occurred:</b> 8/19/2017 at 1502<br><b>Case #:</b> 17-3199<br><b>Incident #:</b> 1708190084<br><br>","38.5664439","-121.7396405","Adw Not F/Arm Or Frce:Gbi","ASSAULT","Assault","1500 Block of CANNERY LOOP","https://dpd.crimegraphics.com/2013//icons/icon2.png","shadow.png","8/19/2017 12:00:00 AM","","","","","245(A)(1) PC","17-3199","Felony","1708190084"
"<hr><b><big>Sexual battery: unwill vic</big></b><hr><b>Crime:</b> 243.4(E)(1) PC<br><b>Crime Type:</b> Assault<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 600 Block of CANTRILL DR<br><b>City:</b> Davis<br><b>Occurred:</b> 8/7/2017 at 0000<br><b>Case #:</b> 18-567<br><b>Incident #:</b> 1802070124<br><br>","38.55087","-121.72047","Sexual Battery: Unwill Vic","ASSAULT","Assault","600 Block of CANTRILL DR","https://dpd.crimegraphics.com/2013//icons/icon2.png","shadow.png","2/7/2018 12:00:00 AM","","","","","243.4(E)(1) PC","18-567","Misdemeanor","1802070124"
"<hr><b><big>Burglary (Commercial)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 3800 Block of CHILES RD<br><b>City:</b> Davis<br><b>Occurred:</b> 8/18/2017 at 1722<br><b>Case #:</b> 17-3190<br><b>Incident #:</b> 1708180104<br><br>","38.54983","-121.70358","Burglary (Commercial) ","BURGLARY","Burglary","3800 Block of CHILES RD","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","8/18/2017 12:00:00 AM","","","","","459 PC","17-3190","Felony","1708180104"
"<hr><b><big>Grnd Thft:prop/Etc $950+ -felony</big></b><hr><b>Crime:</b> 487(A) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 4200 Block of CHILES RD<br><b>City:</b> Davis<br><b>Occurred:</b> 8/20/2017 at 1740<br><b>Case #:</b> 17-3233<br><b>Incident #:</b> 1708200092<br><br>","38.55052","-121.70007","Grnd Thft:Prop/Etc $950+ -Felony","LARCENY","Theft","4200 Block of CHILES RD","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/20/2017 12:00:00 AM","","","","","487(A) PC","17-3233","Felony","1708200092"
"<hr><b><big>Burglary (Vehicle)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 4300 Block of CHILES RD<br><b>City:</b> Davis<br><b>Occurred:</b> 7/24/2017 at 1530<br><b>Case #:</b> 17-2889<br><b>Incident #:</b> 1707250040<br><br>","38.55064","-121.69827","Burglary (Vehicle)","LARCENY","Theft","4300 Block of CHILES RD","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","7/25/2017 12:00:00 AM","","","","","459 PC","17-2889","Felony","1707250040"
"<hr><b><big>Shoplifting $950 - misdemeanor</big></b><hr><b>Crime:</b> 459.5 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 4400 Block of CHILES RD<br><b>City:</b> Davis<br><b>Occurred:</b> 7/24/2017 at 1600<br><b>Case #:</b> 17-2893<br><b>Incident #:</b> 1707250074<br><br>","38.5503","-121.69671","Shoplifting $950 - Misdemeanor","LARCENY","Theft","4400 Block of CHILES RD","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","7/25/2017 12:00:00 AM","","","","","459.5 PC","17-2893","Misdemeanor","1707250074"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 4400 Block of CHILES RD<br><b>City:</b> Davis<br><b>Occurred:</b> 8/12/2017 at 1300<br><b>Case #:</b> 17-3150<br><b>Incident #:</b> 1708140079<br><br>","38.55055","-121.69736","Petty Theft $950-  Misd","LARCENY","Theft","4400 Block of CHILES RD","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/14/2017 12:00:00 AM","","","","","488 PC","17-3150","Misdemeanor","1708140079"
"<hr><b><big>Burglary (Commercial)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 4900 Block of CHILES RD<br><b>City:</b> Davis<br><b>Occurred:</b> 7/24/2017 at 0953<br><b>Case #:</b> 17-2888<br><b>Incident #:</b> 1707250025<br><br>","38.5522","-121.69231","Burglary (Commercial) ","BURGLARY","Burglary","4900 Block of CHILES RD","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","7/25/2017 12:00:00 AM","","","","","459 PC","17-2888","Felony","1707250025"
"<hr><b><big>Burglary (Vehicle)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 5100 Block of CHILES RD<br><b>City:</b> Davis<br><b>Occurred:</b> 8/9/2017 at 0000<br><b>Case #:</b> 17-3143<br><b>Incident #:</b> 1708140105<br><br>","38.5537","-121.68724","Burglary (Vehicle)","LARCENY","Theft","5100 Block of CHILES RD","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/14/2017 12:00:00 AM","","","","","459 PC","17-3143","Felony","1708140105"
"<hr><b><big>Burglary (Residential)</big></b><hr><b>Crime:</b> 459 PC<br><b>Crime Type:</b> Burglary<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 1600 Block of COLUSA AV<br><b>City:</b> Davis<br><b>Occurred:</b> 8/22/2017 at 1530<br><b>Case #:</b> 17-3260<br><b>Incident #:</b> 1708220126<br><br>","38.55365","-121.76863","Burglary (Residential)","BURGLARY","Burglary","1600 Block of COLUSA AV","https://dpd.crimegraphics.com/2013//icons/icon3.png","shadow.png","8/22/2017 12:00:00 AM","","","","","459 PC","17-3260","Felony","1708220126"
"<hr><b><big>Grnd Thft:prop/Etc $950+ -felony</big></b><hr><b>Crime:</b> 487(A) PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 4100 Block of COWELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 8/15/2017 at 1900<br><b>Case #:</b> 17-3220<br><b>Incident #:</b> 1708210032<br><br>","38.54854","-121.70054","Grnd Thft:Prop/Etc $950+ -Felony","LARCENY","Theft","4100 Block of COWELL BL","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/21/2017 12:00:00 AM","","","","","487(A) PC","17-3220","Felony","1708210032"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 4400 Block of COWELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 8/18/2017 at 0000<br><b>Case #:</b> 17-3232<br><b>Incident #:</b> 1708210095<br><br>","38.54877","-121.69722","Petty Theft $950-  Misd","LARCENY","Theft","4400 Block of COWELL BL","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","8/21/2017 12:00:00 AM","","","","","488 PC","17-3232","Misdemeanor","1708210095"
"<hr><b><big>Vehicle Theft</big></b><hr><b>Crime:</b> 10851(A) VC<br><b>Crime Type:</b> Stolen Vehicle<br><b>Crime Classification:</b> Felony<br><b>Address:</b> 4700 Block of COWELL BL<br><b>City:</b> Davis<br><b>Occurred:</b> 8/17/2017 at 2130<br><b>Case #:</b> 17-3181<br><b>Incident #:</b> 1708180019<br><br>","38.54845","-121.69328","Vehicle Theft","STOLVEH","Stolen Vehicle","4700 Block of COWELL BL","https://dpd.crimegraphics.com/2013//icons/icon8.png","shadow.png","8/18/2017 12:00:00 AM","","","","","10851(A) VC","17-3181","Felony","1708180019"
"<hr><b><big>Petty Theft $950-  misd</big></b><hr><b>Crime:</b> 488 PC<br><b>Crime Type:</b> Theft<br><b>Crime Classification:</b> Misdemeanor<br><b>Address:</b> 900 Block of CRANBROOK CT<br><b>City:</b> Davis<br><b>Occurred:</b> 7/26/2017 at 0215<br><b>Case #:</b> 17-2906<br><b>Incident #:</b> 1707260016<br><br>","38.55914","-121.74075","Petty Theft $950-  Misd","LARCENY","Theft","900 Block of CRANBROOK CT","https://dpd.crimegraphics.com/2013//icons/icon5.png","shadow.png","7/26/2017 12:00:00 AM","","","","","488 PC","17-2906","Misdemeanor","1707260016"
